150	0	18.2	6.98591	13.5
150.063	0	17.8	7.30532	12.9
150.125	0	17.1	7.47852	12.8
150.188	0	17.8	7.56507	12.2
150.25	9.15	17.7	7.49814	12.1
150.313	203.42	19.4	7.63618	12.5
150.375	339.51	21.6	7.62665	12.8
150.438	589.36	23.9	7.6137	14
150.5	574.63	25.3	9.68008	14.6
150.563	576.71	26.2	10.6012	15.4
150.625	527.75	26.2	10.5216	15.5
150.688	308.04	27.5	12.7368	15.9
150.75	170.91	27.7	14.8792	15.8
150.813	36.76	25.7	16.2943	15.5
150.875	0	24.1	17.1398	15.1
150.938	0	22.5	17.5921	14.5
151	0	21.1	17.8796	14.2
151.063	0	18.5	17.8976	13.5
151.125	0	18.1	17.8292	13.7
151.188	0	16.7	16.5854	13.2
151.25	9.15	17	14.3295	13.1
151.313	203.42	19.7	13.6367	13.2
151.375	339.51	21.7	14.0332	13.5
151.438	589.36	25.1	14.8823	14.6
151.5	574.63	26.6	16.5117	15.3
151.563	576.71	28.1	18.5001	16.2
151.625	527.75	28.6	20.5719	16.5
151.688	308.04	28.8	22.7064	16.7
151.75	170.91	28.6	24.7129	16.6
151.813	36.76	26	25.3072	16.1
151.875	0	23.8	25.5043	15.9
151.938	0	20.4	25.4931	15.2
152	0	19.4	23.4876	15
152.063	0	18.4	22.504	14.5
152.125	0	18	22.7435	14.2
152.188	0	17.4	20.6656	13.9
152.25	9.15	17.1	18.6764	13.8
152.313	203.42	17.9	17.6737	13.8
152.375	339.51	19.5	17.6536	14.1
152.438	589.36	23.6	18.2306	15.1
152.5	574.63	25.1	19.7496	15.6
152.563	576.71	26.7	21.6478	16.6
152.625	527.75	26.9	23.1892	16.7
152.688	308.04	26.5	23.9929	16.7
152.75	170.91	25.8	24.652	16.6
152.813	36.76	23.8	25.1112	16.2
152.875	0	22.9	25.0176	15.9
152.938	0	21.3	24.5529	15.4
153	0	20.5	23.3062	15.2
153.063	0	19.2	21.6318	15
153.125	0	18.9	19.9408	14.8
153.188	0	18.3	18.2191	14.7
153.25	9.15	17.8	16.5946	14.5
153.313	203.42	18.4	15.4147	14.6
153.375	339.51	20.6	14.8038	14.7
153.438	589.36	22.9	13.6207	15.3
153.5	574.63	23.8	13.3675	15.8
153.563	576.71	25.4	14.8792	16.6
153.625	527.75	25.5	15.2114	16.7
153.688	308.04	25.7	17.0864	16.9
153.75	170.91	25.7	18.8525	16.8
153.813	36.76	24.3	19.7277	16.6
153.875	0	22.8	19.8349	16.1
153.938	0	21.1	19.3731	15.8
154	0	20.8	18.0613	15.5
154.063	0	19.8	16.4142	15.4
154.125	0	20	15.1879	15.3
154.188	0	19.7	14.7699	15.2
154.25	9.15	19.2	14.3839	15.1
154.313	203.42	19.5	13.6502	15.1
154.375	339.51	20	12.1516	15.3
154.438	589.36	21.8	10.5553	15.7
154.5	574.63	23	9.78298	16
154.563	576.71	23.1	8.23129	16.2
154.625	527.75	23.6	8.96323	16.4
154.688	308.04	22.7	9.81996	16.6
154.75	170.91	22.7	10.8824	16.4
154.813	36.76	20.3	11.695	16
154.875	0	18.7	12.185	15.7
154.938	0	17.2	13.7173	15.2
155	0	16.8	14.2988	14.9
155.063	0	15	12.5134	14.6
155.125	0	13.6	11.7481	14.1
155.188	0	12	9.43241	13.7
155.25	13.02	11.7	7.1861	13.4
155.313	179.99	13.2	6.75379	13.5
155.375	297.47	14.4	7.20178	13.6
155.438	469.87	16.9	8.60701	14.3
155.5	623.85	18	9.47987	14.8
155.563	692.35	19.7	10.1213	15.3
155.625	585.4	20.3	11.209	15.4
155.688	355.99	20.4	12.4255	15.6
